title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0087,isic0087,285020,22100040,http://sicily.classics.ox.ac.uk/inscription/isic0087,10.5281/zenodo.4334079,109645,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0088,isic0088,285021,22100041,http://sicily.classics.ox.ac.uk/inscription/isic0088,10.5281/zenodo.4334083,109649,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0089,isic0089,285022,22100042,http://sicily.classics.ox.ac.uk/inscription/isic0089,10.5281/zenodo.4334087,109660,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0090,isic0090,284838,22100043,http://sicily.classics.ox.ac.uk/inscription/isic0090,10.5281/zenodo.4334091,109665,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0091,isic0091,285281,22100044,http://sicily.classics.ox.ac.uk/inscription/isic0091,10.5281/zenodo.4334095,127502,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
Honours for Caius Maesius,isic0092,285283,22100046,http://sicily.classics.ox.ac.uk/inscription/isic0092,10.5281/zenodo.4334099,127504,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0093,isic0093,285284,22100047,http://sicily.classics.ox.ac.uk/inscription/isic0093,10.5281/zenodo.4334103,127505,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0094,isic0094,285286,22100049,http://sicily.classics.ox.ac.uk/inscription/isic0094,10.5281/zenodo.4334107,127507,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0095,isic0095,285209,22100050,http://sicily.classics.ox.ac.uk/inscription/isic0095,10.5281/zenodo.4334111,127010,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0096,isic0096,285278,22100051,http://sicily.classics.ox.ac.uk/inscription/isic0096,10.5281/zenodo.4334117,127499,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0097,isic0097,175712,9300257,http://sicily.classics.ox.ac.uk/inscription/isic0097,10.5281/zenodo.4334121,076568,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0098,isic0098,285316,22100052,http://sicily.classics.ox.ac.uk/inscription/isic0098,10.5281/zenodo.4334126,127534,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0099,isic0099,175696,9200305,http://sicily.classics.ox.ac.uk/inscription/isic0099,10.5281/zenodo.4334130,077198,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0100,isic0100,285328,22100053,http://sicily.classics.ox.ac.uk/inscription/isic0100,10.5281/zenodo.4334134,127535,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
